onset	onsetTR	message	subject	run	block	trial	contrast	condition	phase	stimulus
7.016	3.004	stimOnset	002	3	1	1	0.5	random	2.094	45
7.266	3.111	stimOnset	002	3	1	2	0.5	random	5.760	135
7.516	3.218	stimOnset	002	3	1	3	0.5	random	1.571	90
7.766	3.325	stimOnset	002	3	1	4	0.5	random	4.189	0
8.016	3.432	stimOnset	002	3	1	5	0.5	random	1.047	135
8.266	3.539	stimOnset	002	3	1	6	0.5	random	0.524	0
8.516	3.646	stimOnset	002	3	1	7	0.5	random	1.571	135
8.766	3.753	stimOnset	002	3	1	8	0.5	random	2.618	0
9.016	3.860	stimOnset	002	3	1	9	0.5	random	0.524	45
9.266	3.967	stimOnset	002	3	1	10	0.5	random	4.189	135
9.516	4.074	stimOnset	002	3	1	11	0.5	random	4.712	90
9.766	4.181	stimOnset	002	3	1	12	0.5	random	4.189	0
10.016	4.288	stimOnset	002	3	1	13	0.5	random	5.236	135
10.266	4.395	stimOnset	002	3	1	14	0.5	random	1.047	0
10.516	4.502	stimOnset	002	3	1	15	0.5	random	2.094	90
10.766	4.609	stimOnset	002	3	1	16	0.5	random	1.047	45
11.016	4.716	stimOnset	002	3	1	17	0.5	random	3.142	90
11.266	4.823	stimOnset	002	3	1	18	0.5	random	3.142	0
11.516	4.930	stimOnset	002	3	1	19	0.5	random	3.665	90
11.766	5.037	stimOnset	002	3	1	20	0.5	random	5.236	45
12.016	5.144	stimOnset	002	3	1	21	0.5	random	0.000	90
12.266	5.251	stimOnset	002	3	1	22	0.5	random	0.000	45
12.516	5.358	stimOnset	002	3	1	23	0.5	random	5.760	135
12.766	5.465	stimOnset	002	3	1	24	0.5	random	5.760	90
13.016	5.572	stimOnset	002	3	1	25	0.5	random	0.000	135
13.266	5.679	stimOnset	002	3	1	26	0.5	random	2.094	90
13.516	5.786	stimOnset	002	3	1	27	0.5	random	5.236	0
13.766	5.893	stimOnset	002	3	1	28	0.5	random	2.618	90
14.016	6.000	stimOnset	002	3	1	29	0.5	random	3.665	0
14.266	6.107	stimOnset	002	3	1	30	0.5	random	0.524	45
14.516	6.214	stimOnset	002	3	1	31	0.5	random	5.236	0
14.766	6.321	stimOnset	002	3	1	32	0.5	random	1.047	90
15.016	6.428	stimOnset	002	3	1	33	0.5	random	3.142	45
15.266	6.535	stimOnset	002	3	1	34	0.5	random	3.665	135
15.516	6.642	stimOnset	002	3	1	35	0.5	random	0.524	45
15.766	6.749	stimOnset	002	3	1	36	0.5	random	2.094	90
16.016	6.856	stimOnset	002	3	1	37	0.5	random	5.760	0
16.265	6.963	stimOnset	002	3	1	38	0.5	random	3.665	45
16.515	7.070	stimOnset	002	3	1	39	0.5	random	3.665	135
16.765	7.177	stimOnset	002	3	1	40	0.5	random	1.571	0
17.015	7.284	stimOnset	002	3	1	41	0.5	random	5.236	135
17.265	7.391	stimOnset	002	3	1	42	0.5	random	3.142	45
17.515	7.498	stimOnset	002	3	1	43	0.5	random	4.712	135
17.765	7.605	stimOnset	002	3	1	44	0.5	random	1.571	45
18.015	7.712	stimOnset	002	3	1	45	0.5	random	2.618	0
18.265	7.819	stimOnset	002	3	1	46	0.5	random	3.142	90
18.515	7.926	stimOnset	002	3	1	47	0.5	random	2.618	0
18.765	8.033	stimOnset	002	3	1	48	0.5	random	2.618	90
19.015	8.140	stimOnset	002	3	1	49	0.5	random	0.000	45
19.265	8.247	stimOnset	002	3	1	50	0.5	random	1.571	135
19.515	8.354	stimOnset	002	3	1	51	0.5	random	4.189	45
19.765	8.461	stimOnset	002	3	1	52	0.5	random	0.524	90
20.015	8.568	stimOnset	002	3	1	53	0.5	random	4.189	135
20.265	8.675	stimOnset	002	3	1	54	0.5	random	4.712	0
20.515	8.782	stimOnset	002	3	1	55	0.5	random	4.712	90
20.765	8.889	stimOnset	002	3	1	56	0.5	random	4.712	135
21.015	8.996	stimOnset	002	3	1	57	0.5	random	0.000	0
21.265	9.103	stimOnset	002	3	1	58	0.5	random	1.047	135
21.515	9.210	stimOnset	002	3	1	59	0.5	random	2.094	45
21.765	9.317	stimOnset	002	3	1	60	0.5	random	5.760	45
22.015	9.424	blockend	002	3	1	60	0.5	random	5.760	45
23.532	10.073	stimOnset	002	3	2	1	1.0	random	4.712	90
23.782	10.180	stimOnset	002	3	2	2	1.0	random	1.047	135
24.032	10.287	stimOnset	002	3	2	3	1.0	random	2.618	90
24.282	10.394	stimOnset	002	3	2	4	1.0	random	2.618	0
24.532	10.501	stimOnset	002	3	2	5	1.0	random	2.618	45
24.781	10.609	stimOnset	002	3	2	6	1.0	random	0.000	135
25.031	10.716	stimOnset	002	3	2	7	1.0	random	3.665	0
25.281	10.823	stimOnset	002	3	2	8	1.0	random	1.571	135
25.531	10.930	stimOnset	002	3	2	9	1.0	random	2.094	0
25.781	11.037	stimOnset	002	3	2	10	1.0	random	5.236	45
26.031	11.144	stimOnset	002	3	2	11	1.0	random	1.571	0
26.281	11.251	stimOnset	002	3	2	12	1.0	random	3.142	135
26.531	11.358	stimOnset	002	3	2	13	1.0	random	0.524	45
26.781	11.465	stimOnset	002	3	2	14	1.0	random	3.142	0
27.031	11.572	stimOnset	002	3	2	15	1.0	random	3.665	90
27.281	11.679	stimOnset	002	3	2	16	1.0	random	3.665	45
27.531	11.786	stimOnset	002	3	2	17	1.0	random	4.712	0
27.781	11.893	stimOnset	002	3	2	18	1.0	random	0.000	45
28.031	12.000	stimOnset	002	3	2	19	1.0	random	4.712	0
28.281	12.107	stimOnset	002	3	2	20	1.0	random	4.189	90
28.531	12.214	stimOnset	002	3	2	21	1.0	random	3.142	135
28.781	12.321	stimOnset	002	3	2	22	1.0	random	0.524	45
29.031	12.428	stimOnset	002	3	2	23	1.0	random	0.524	90
29.281	12.535	stimOnset	002	3	2	24	1.0	random	3.142	0
29.531	12.642	stimOnset	002	3	2	25	1.0	random	5.760	135
29.781	12.749	stimOnset	002	3	2	26	1.0	random	4.189	45
30.031	12.856	stimOnset	002	3	2	27	1.0	random	5.236	135
30.281	12.963	stimOnset	002	3	2	28	1.0	random	2.094	45
30.531	13.070	stimOnset	002	3	2	29	1.0	random	1.047	135
30.781	13.177	stimOnset	002	3	2	30	1.0	random	0.000	90
31.031	13.284	stimOnset	002	3	2	31	1.0	random	2.094	45
31.281	13.391	stimOnset	002	3	2	32	1.0	random	1.047	0
31.531	13.498	stimOnset	002	3	2	33	1.0	random	1.571	135
31.781	13.605	stimOnset	002	3	2	34	1.0	random	0.524	0
32.031	13.712	stimOnset	002	3	2	35	1.0	random	3.665	135
32.281	13.819	stimOnset	002	3	2	36	1.0	random	4.189	90
32.531	13.926	stimOnset	002	3	2	37	1.0	random	5.760	135
32.781	14.033	stimOnset	002	3	2	38	1.0	random	4.712	0
33.031	14.140	stimOnset	002	3	2	39	1.0	random	4.712	90
33.281	14.247	stimOnset	002	3	2	40	1.0	random	2.618	135
33.531	14.354	stimOnset	002	3	2	41	1.0	random	5.236	0
33.781	14.461	stimOnset	002	3	2	42	1.0	random	5.760	45
34.031	14.568	stimOnset	002	3	2	43	1.0	random	2.094	0
34.281	14.675	stimOnset	002	3	2	44	1.0	random	4.189	45
34.531	14.782	stimOnset	002	3	2	45	1.0	random	4.189	90
34.781	14.889	stimOnset	002	3	2	46	1.0	random	5.236	0
35.031	14.996	stimOnset	002	3	2	47	1.0	random	0.000	45
35.281	15.103	stimOnset	002	3	2	48	1.0	random	1.571	90
35.531	15.210	stimOnset	002	3	2	49	1.0	random	3.142	135
35.781	15.317	stimOnset	002	3	2	50	1.0	random	2.094	45
36.031	15.424	stimOnset	002	3	2	51	1.0	random	0.000	0
36.281	15.531	stimOnset	002	3	2	52	1.0	random	5.760	135
36.530	15.638	stimOnset	002	3	2	53	1.0	random	0.524	90
36.781	15.745	stimOnset	002	3	2	54	1.0	random	5.236	45
37.030	15.852	stimOnset	002	3	2	55	1.0	random	5.760	90
37.280	15.959	stimOnset	002	3	2	56	1.0	random	2.618	135
37.530	16.066	stimOnset	002	3	2	57	1.0	random	1.571	90
37.780	16.173	stimOnset	002	3	2	58	1.0	random	3.665	45
38.030	16.280	stimOnset	002	3	2	59	1.0	random	1.047	90
38.280	16.387	stimOnset	002	3	2	60	1.0	random	1.047	90
38.530	16.494	blockend	002	3	2	60	1.0	random	1.047	90
40.047	17.143	stimOnset	002	3	3	1	0.5	predictable	3.142	45
40.297	17.250	stimOnset	002	3	3	2	0.5	predictable	0.000	90
40.547	17.357	stimOnset	002	3	3	3	0.5	predictable	3.665	0
40.797	17.464	stimOnset	002	3	3	4	0.5	predictable	0.000	135
41.047	17.571	stimOnset	002	3	3	5	0.5	predictable	3.142	45
41.297	17.678	stimOnset	002	3	3	6	0.5	predictable	5.236	90
41.547	17.785	stimOnset	002	3	3	7	0.5	predictable	5.760	0
41.797	17.892	stimOnset	002	3	3	8	0.5	predictable	3.142	135
42.047	17.999	stimOnset	002	3	3	9	0.5	predictable	4.712	45
42.297	18.106	stimOnset	002	3	3	10	0.5	predictable	1.571	90
